car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12758,7781,Isuzu,Isuzu N Series Diesel,NPR75 UH5A 15FT [Euro VI] (M),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12758,7816,Isuzu,Isuzu N Series Diesel,NPR85 UH5A 15 FT [Euro VI] (A),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12758,7782,Isuzu,Isuzu N Series Diesel,NPR85 UH5A 15FT [Euro VI] (M),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12759,7783,Isuzu,Isuzu F Series Diesel,FVR90 SUQD-C [Euro VI] (M),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12763,7803,Audi,Audi Q7 Mild Hybrid,3.0 TFSI qu Tip 7-Seater (A),480828,-,192331,4151,105459,2380,-,-,5.9010,Petrol-Electric,True
12768,7818,Bentley,Bentley Bentayga,4.0 V8 (A),POA,-,-,-,105459,3942,222851,430272,4.5010,Petrol,True
12771,7826,BYD,BYD M3e Electric,50.3 kWh (A),143888,-,57555,1242,86000,1326,20600,0,-,Electric,True
12772,7989,Mercedes-Benz,Mercedes-Benz GLB-Class,GLB180 Progressive 7-Seater (A),242888,22200,97155,2097,86000,586,35003,41004,9.9010,Petrol,True
12772,7832,Mercedes-Benz,Mercedes-Benz GLB-Class,GLB200 Progressive 7-Seater (A),292888,27100,117155,2528,105459,586,37319,44247,9.1010,Petrol,True
12772,7990,Mercedes-Benz,Mercedes-Benz GLB-Class,GLB250 AMG Line 7-Seater (A),329888,-,131955,2848,105459,1202,-,-,7.1010,Petrol,True
12772,7833,Mercedes-Benz,Mercedes-Benz GLB-Class,GLB35 AMG 4MATIC 7-Seater (A),359888,33100,143955,3107,105459,1202,47052,57873,5.2010,Petrol,True
12776,7848,Audi,Audi RS Q3 Sportback,2.5 TFSI qu S tronic (A),404481,36800,161792,3492,105459,1776,56384,73491,4.5010,Petrol,True
12777,7849,Ford,Ford Ranger Raptor Diesel,2.0 Double Cab Pick-Up Limited [Euro VI] (A),170888,-,17089,2213,77109,-,53000,2650,10.401,Diesel (Euro VI),False
12778,7852,Mercedes-Benz,Mercedes-Benz GLC-Class Plug-in Hybrid,GLC300e 4MATIC (A),373888,33800,149555,3228,105459,1202,55492,71886,5.7010,Petrol-Electric,True
12780,8750,Audi,Audi RS Q3,2.5 TFSI qu S tronic (A),396228,-,158491,3421,105459,1776,-,-,4.5010,Petrol,True
12782,7968,Audi,Audi RS Q8 Mild Hybrid,4.0 TFSI qu Tip (A),688359,-,275344,5943,105459,3942,-,-,3.8010,Petrol-Electric,True
12784,7868,Rolls-Royce,Rolls-Royce Ghost,6.75 V12 (A),POA,-,-,-,105459,8248,418808,861378,4.8010,Petrol,True
